testv3.txt opened
> offset: 23906, typeID: 17, length: 35
> offset: 23944, typeID: 1, length: 57
> offset: 24004, typeID: 5, length: 20
> offset: 24026, typeID: 255, length: 1
> offset: 24027, typeID: 1, length: 57
> offset: 24087, typeID: 5, length: 20
> offset: 24110, typeID: 17, length: 35
> offset: 24148, typeID: 1, length: 57
> offset: 24208, typeID: 1, length: 57
> offset: 24268, typeID: 5, length: 20
> offset: 24303, typeID: 255, length: 99
> offset: 24322, typeID: 1, length: 57
> offset: 24382, typeID: 5, length: 20
> offset: 24405, typeID: 17, length: 35
> offset: 24443, typeID: 8, length: 32
> offset: 24478, typeID: 5, length: 20
> offset: 24501, typeID: 1, length: 57
> offset: 24561, typeID: 1, length: 57
> offset: 24621, typeID: 5, length: 20
> offset: 24622, typeID: 20, length: 117
> offset: 24644, typeID: 17, length: 35
> offset: 24682, typeID: 1, length: 57
> offset: 24742, typeID: 5, length: 20
> offset: 24765, typeID: 1, length: 57
> offset: 24825, typeID: 3, length: 21
> offset: 24849, typeID: 5, length: 20
> offset: 24850, typeID: 20, length: 131
> offset: 24872, typeID: 17, length: 35
> offset: 24924, typeID: 1, length: 57
> offset: 24984, typeID: 5, length: 20
> offset: 25007, typeID: 3, length: 21
> offset: 25026, typeID: 6, length: 229
> offset: 25077, typeID: 1, length: 57
> offset: 25137, typeID: 5, length: 20
> offset: 25160, typeID: 17, length: 35
> offset: 25198, typeID: 1, length: 57
> offset: 25258, typeID: 5, length: 20
> offset: 25281, typeID: 1, length: 57
> offset: 25341, typeID: 5, length: 20
> offset: 25364, typeID: 17, length: 35
> offset: 25402, typeID: 14, length: 22
> offset: 25427, typeID: 1, length: 57
> offset: 25518, typeID: 5, length: 20
> offset: 25541, typeID: 4, length: 17
> offset: 25561, typeID: 1, length: 57
> offset: 25618, typeID: 4, length: 58
> offset: 25621, typeID: 8, length: 32
> offset: 25656, typeID: 5, length: 20
> offset: 25679, typeID: 17, length: 35
> offset: 25699, typeID: 12, length: 216
> offset: 25717, typeID: 2, length: 75
> offset: 25795, typeID: 4, length: 17
> offset: 25815, typeID: 1, length: 57
> offset: 25875, typeID: 5, length: 20
> offset: 25898, typeID: 4, length: 17
> offset: 25918, typeID: 1, length: 57
> offset: 25978, typeID: 5, length: 20
